#Saved Data from the class pulsed_measurement_logic_clone on 10.02.2023 at 18h26m17s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.3086361312866211e+02
#Measurement sweeps: -1
#Number of laser pulses: 600
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.7200000000000005e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 600, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
3.650000000000000e-06	3.651000000000000e+03
3.660000000000000e-06	3.269000000000000e+03
3.670000000000000e-06	3.146000000000000e+03
3.680000000000000e-06	3.056000000000000e+03
3.690000000000000e-06	3.096000000000000e+03
3.700000000000000e-06	3.215000000000000e+03
3.710000000000000e-06	3.479000000000000e+03
3.720000000000000e-06	3.624000000000000e+03
3.730000000000000e-06	3.625000000000000e+03
3.740000000000000e-06	3.487000000000000e+03
3.750000000000000e-06	3.294000000000000e+03
3.760000000000000e-06	3.166000000000000e+03
3.770000000000000e-06	3.081000000000000e+03
3.780000000000000e-06	3.097000000000000e+03
3.790000000000000e-06	3.163000000000000e+03
3.800000000000000e-06	3.356000000000000e+03
3.810000000000000e-06	3.669000000000000e+03
3.820000000000000e-06	3.559000000000000e+03
3.830000000000000e-06	3.588000000000000e+03
3.840000000000000e-06	3.314000000000000e+03
3.850000000000000e-06	3.155000000000000e+03
3.860000000000000e-06	3.153000000000000e+03
3.870000000000000e-06	3.101000000000000e+03
3.880000000000000e-06	3.101000000000000e+03
3.890000000000000e-06	3.360000000000000e+03
3.900000000000000e-06	3.742000000000000e+03
3.910000000000000e-06	3.433000000000000e+03
3.920000000000000e-06	3.693000000000000e+03
3.930000000000000e-06	3.382000000000000e+03
3.940000000000000e-06	3.098000000000000e+03
3.950000000000000e-06	3.102000000000000e+03
3.960000000000000e-06	3.009000000000000e+03
3.970000000000000e-06	3.251000000000000e+03
3.980000000000000e-06	3.367000000000000e+03
3.990000000000000e-06	3.544000000000000e+03
4.000000000000000e-06	3.604000000000000e+03
4.010000000000000e-06	3.558000000000000e+03
4.020000000000000e-06	3.527000000000000e+03
4.030000000000000e-06	3.196000000000000e+03
4.040000000000000e-06	3.087000000000000e+03
4.050000000000000e-06	2.996000000000000e+03
4.060000000000000e-06	3.076000000000000e+03
4.070000000000000e-06	3.176000000000000e+03
4.080000000000000e-06	3.631000000000000e+03
4.090000000000000e-06	3.733000000000000e+03
4.100000000000000e-06	3.582000000000000e+03
4.110000000000000e-06	3.566000000000000e+03
4.120000000000000e-06	3.443000000000000e+03
4.130000000000000e-06	3.117000000000000e+03
4.140000000000000e-06	3.032000000000000e+03
4.150000000000000e-06	3.011000000000000e+03
4.160000000000000e-06	3.229000000000000e+03
4.170000000000000e-06	3.458000000000000e+03
4.180000000000000e-06	3.735000000000000e+03
4.190000000000000e-06	3.645000000000000e+03
4.200000000000000e-06	3.609000000000000e+03
4.210000000000000e-06	3.268000000000000e+03
4.220000000000000e-06	3.189000000000000e+03
4.230000000000000e-06	2.979000000000000e+03
4.240000000000000e-06	3.042000000000000e+03
4.250000000000000e-06	3.153000000000000e+03
4.260000000000000e-06	3.432000000000000e+03
4.270000000000000e-06	3.566000000000000e+03
4.280000000000000e-06	3.692000000000000e+03
4.290000000000000e-06	3.631000000000000e+03
4.300000000000000e-06	3.301000000000000e+03
4.310000000000000e-06	3.195000000000000e+03
4.320000000000000e-06	3.109000000000000e+03
4.330000000000000e-06	3.084000000000000e+03
4.340000000000000e-06	3.269000000000000e+03
4.350000000000000e-06	3.570000000000000e+03
4.360000000000000e-06	3.674000000000000e+03
4.370000000000000e-06	3.805000000000000e+03
4.380000000000000e-06	3.583000000000000e+03
4.390000000000000e-06	3.467000000000000e+03
4.400000000000000e-06	3.167000000000000e+03
4.410000000000000e-06	2.913000000000000e+03
4.420000000000000e-06	2.947000000000000e+03
4.430000000000000e-06	3.095000000000000e+03
4.440000000000000e-06	3.499000000000000e+03
4.450000000000000e-06	3.545000000000000e+03
4.460000000000000e-06	3.604000000000000e+03
4.470000000000000e-06	3.617000000000000e+03
4.480000000000000e-06	3.425000000000000e+03
4.490000000000000e-06	3.145000000000000e+03
4.500000000000000e-06	2.849000000000000e+03
4.510000000000000e-06	2.922000000000000e+03
4.520000000000000e-06	3.174000000000000e+03
4.530000000000000e-06	3.386000000000000e+03
4.540000000000000e-06	3.521000000000000e+03
4.550000000000000e-06	3.638000000000000e+03
4.560000000000000e-06	3.442000000000000e+03
4.570000000000000e-06	3.641000000000000e+03
4.580000000000000e-06	3.378000000000000e+03
4.590000000000000e-06	3.163000000000000e+03
4.600000000000000e-06	3.081000000000000e+03
4.610000000000000e-06	3.199000000000000e+03
4.620000000000000e-06	3.421000000000000e+03
4.630000000000000e-06	3.550000000000000e+03
4.640000000000000e-06	3.592000000000000e+03
4.650000000000000e-06	3.619000000000000e+03
4.660000000000000e-06	3.456000000000000e+03
4.670000000000000e-06	3.324000000000000e+03
4.680000000000000e-06	3.040000000000000e+03
4.690000000000000e-06	3.092000000000000e+03
4.700000000000000e-06	3.098000000000000e+03
4.710000000000000e-06	3.261000000000000e+03
4.720000000000000e-06	3.421000000000000e+03
4.730000000000000e-06	3.674000000000000e+03
4.740000000000000e-06	3.709000000000000e+03
4.750000000000000e-06	3.543000000000000e+03
4.760000000000000e-06	3.188000000000000e+03
4.770000000000000e-06	3.040000000000000e+03
4.780000000000000e-06	3.060000000000000e+03
4.790000000000000e-06	3.092000000000000e+03
4.800000000000000e-06	3.292000000000000e+03
4.810000000000000e-06	3.496000000000000e+03
4.820000000000000e-06	3.534000000000000e+03
4.830000000000000e-06	3.579000000000000e+03
